2017;10;1;0;0;17.01;50.00;1019.50;0.00;0.00;0.00;0.00;100.00;34.00;77.00;100.00;0.00;0.00;6.13;130.24;11.21;132.40;15.32;150.42;11.16;0;0.0;
2017;10;1;1;0;16.58;52.00;1019.60;0.00;0.00;0.00;0.00;100.00;30.00;74.00;100.00;0.00;0.00;6.29;113.63;11.44;114.15;12.29;148.17;7.56;0;0.0;
2017;10;1;2;0;15.87;57.00;1020.00;0.00;0.00;0.00;0.00;100.00;16.00;54.00;100.00;0.00;0.00;7.90;120.07;13.68;116.57;10.69;147.38;7.92;0;0.0;
2017;10;1;3;0;15.35;68.00;1020.60;0.00;0.00;0.00;0.00;100.00;0.00;37.00;100.00;0.00;0.00;9.18;131.82;13.58;122.01;9.50;142.70;7.92;0;0.0;
2017;10;1;4;0;14.75;76.00;1020.00;0.00;0.00;0.00;0.00;100.00;0.00;39.00;100.00;0.00;0.00;7.41;150.95;11.48;138.81;8.79;145.01;6.48;0;0.0;
2017;10;1;5;0;13.71;79.00;1020.40;0.00;0.00;0.00;0.00;40.00;0.00;40.00;0.00;0.00;0.00;4.74;171.25;8.37;154.54;7.15;139.09;9.72;0;0.0;
2017;10;1;6;0;14.32;77.00;1020.10;0.00;0.00;0.00;0.00;20.00;0.00;20.00;10.00;0.00;0.00;1.08;270.00;3.24;180.00;4.84;138.01;1.80;0;0.0;
2017;10;1;7;0;14.64;77.00;1019.90;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;2.90;277.13;2.55;261.87;5.40;143.13;5.76;0;0.0;
2017;10;1;8;0;15.06;78.00;1020.40;0.10;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;6.23;3.60;270.00;4.02;259.70;7.39;133.03;5.40;0.094;404.69;
2017;10;1;9;0;15.81;74.00;1020.90;0.10;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;79.21;2.62;195.95;3.26;186.34;12.23;137.39;6.84;22.129;698.67;
2017;10;1;10;0;16.43;71.00;1021.70;0.00;0.00;0.00;0.00;16.00;0.00;0.00;16.00;49.79;163.76;3.83;131.19;4.69;122.47;11.72;132.51;7.20;65.816;816.58;
2017;10;1;11;0;17.78;64.00;1021.30;0.00;0.00;0.00;0.00;15.00;0.00;0.00;15.00;50.43;267.89;4.21;109.98;4.74;98.75;8.89;121.76;5.04;123.105;872.91;
2017;10;1;12;0;19.73;55.00;1021.00;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;487.72;5.12;129.29;4.39;124.99;4.69;122.47;5.40;127.116;899.52;
2017;10;1;13;0;21.25;47.00;1020.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;685.30;6.37;137.29;5.35;137.73;5.60;135.00;6.12;129.154;907.12;
2017;10;1;14;0;22.50;41.00;1019.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;712.00;7.90;133.15;7.13;135.00;7.42;129.09;7.56;130.083;898.3;
2017;10;1;15;0;23.19;36.00;1020.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;679.96;11.81;142.43;11.02;141.63;10.97;138.99;13.68;128.495;870.03;
2017;10;1;16;0;23.50;35.00;1020.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;595.41;12.82;141.84;12.03;141.07;12.54;140.83;15.48;111.476;810.7;
2017;10;1;17;0;23.47;34.00;1020.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;465.47;13.55;140.39;13.32;141.58;13.18;145.01;16.20;54.927;685.59;
2017;10;1;18;0;22.67;37.00;1019.80;0.00;0.00;0.00;0.00;12.00;0.00;0.00;12.00;52.34;302.60;15.02;134.03;15.02;135.97;14.84;140.91;16.20;11.318;367.5;
2017;10;1;19;0;21.78;41.00;1020.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;121.93;17.48;122.38;20.81;120.11;18.60;132.65;18.72;6.605;0.0;
2017;10;1;20;0;19.55;55.00;1020.70;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;1.78;19.91;130.60;25.54;130.43;20.27;123.41;20.88;0.216;0.0;
2017;10;1;21;0;17.87;62.00;1022.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;16.55;134.12;20.93;130.82;19.17;140.33;17.28;0;0.0;
2017;10;1;22;0;15.52;72.00;1022.90;0.00;0.00;0.00;0.00;9.00;0.00;0.00;9.00;0.00;0.00;10.95;117.41;16.10;116.57;17.43;141.71;11.88;0;0.0;
2017;10;1;23;0;15.22;72.00;1023.20;0.00;0.00;0.00;0.00;12.00;0.00;0.00;12.00;0.00;0.00;8.77;109.18;14.49;104.38;18.58;135.78;10.44;0;0.0;
2017;10;2;0;0;14.63;75.00;1023.70;0.00;0.00;0.00;0.00;3.00;0.00;0.00;3.00;0.00;0.00;5.63;116.57;11.77;113.43;17.32;133.32;9.00;0;0.0;
2017;10;2;1;0;14.19;78.00;1023.60;0.00;0.00;0.00;0.00;1.00;2.00;0.00;1.00;0.00;0.00;3.56;135.00;9.22;128.66;13.51;138.24;6.84;0;0.0;
2017;10;2;2;0;13.67;81.00;1024.00;0.00;0.00;0.00;0.00;4.80;16.00;0.00;0.00;0.00;0.00;1.53;135.00;7.64;135.00;11.46;136.27;4.68;0;0.0;
2017;10;2;3;0;13.56;82.00;1024.50;0.00;0.00;0.00;0.00;7.80;26.00;0.00;3.00;0.00;0.00;0.36;360.00;4.35;155.56;11.97;133.78;5.04;0;0.0;
2017;10;2;4;0;13.24;84.00;1023.90;0.00;0.00;0.00;0.00;100.00;23.00;0.00;100.00;0.00;0.00;2.60;303.69;2.55;225.00;15.02;135.97;5.40;0;0.0;
2017;10;2;5;0;13.99;82.00;1023.90;0.00;0.00;0.00;0.00;100.00;20.00;5.00;100.00;0.00;0.00;4.07;315.00;3.22;296.57;17.32;136.68;5.40;0;0.0;
2017;10;2;6;0;13.87;83.00;1024.10;0.00;0.00;0.00;0.00;100.00;1.00;5.00;100.00;0.00;0.00;4.90;323.97;4.58;315.00;19.35;136.51;6.84;0;0.0;
2017;10;2;7;0;13.54;84.00;1023.90;0.00;0.00;0.00;0.00;100.00;1.00;33.00;100.00;0.00;0.00;5.50;328.39;5.19;326.31;19.91;139.40;7.20;0;0.0;
2017;10;2;8;0;14.26;80.00;1024.10;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;6.23;4.90;342.90;4.45;345.96;17.71;142.43;7.56;0.065;398.17;
2017;10;2;9;0;15.29;79.00;1024.40;0.00;0.00;0.00;0.00;100.00;2.00;0.00;100.00;0.00;71.20;1.02;45.00;1.84;11.31;14.40;143.13;5.04;6.705;697.09;
2017;10;2;10;0;16.24;76.00;1025.30;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;161.09;4.10;142.13;3.32;139.40;12.82;141.84;6.48;49.834;816.33;
2017;10;2;11;0;17.28;71.00;1024.80;0.00;0.00;0.00;0.00;100.00;8.00;0.00;100.00;0.00;266.11;7.09;156.04;6.15;159.44;11.72;137.49;8.64;54.43;873.12;
2017;10;2;12;0;18.33;64.00;1024.60;0.00;0.00;0.00;0.00;100.00;33.00;7.00;100.00;0.00;310.61;8.56;157.75;7.63;160.71;12.50;131.50;8.64;75.356;899.88;
2017;10;2;13;0;19.81;56.00;1024.20;0.00;0.00;0.00;0.00;18.00;4.00;18.00;11.00;48.51;400.50;10.38;146.31;10.00;149.74;11.20;135.00;7.92;63.855;907.46;
2017;10;2;14;0;22.06;47.00;1023.10;0.00;0.00;0.00;0.00;27.00;27.00;27.00;10.00;42.77;608.76;11.75;139.97;11.59;143.84;11.71;135.00;9.72;120.137;898.47;
2017;10;2;15;0;21.51;47.00;1023.40;0.00;0.00;0.00;0.00;4.00;0.00;0.00;4.00;57.45;475.26;14.58;122.91;14.48;124.88;14.11;127.75;16.20;132.172;869.78;
2017;10;2;16;0;22.61;44.00;1023.20;0.00;0.00;0.00;0.00;71.00;0.00;0.00;71.00;14.68;553.58;13.58;122.01;13.48;124.11;13.32;128.42;17.28;106.118;809.5;
2017;10;2;17;0;22.07;45.00;1022.90;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;352.44;12.82;128.16;12.89;125.91;12.48;136.17;14.04;69.567;681.82;
2017;10;2;18;0;21.70;46.00;1022.50;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;142.40;12.26;130.24;12.26;130.24;12.74;137.29;15.12;16.908;354.58;
2017;10;2;19;0;20.95;48.00;1022.70;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;62.30;12.03;128.93;13.32;128.42;13.49;136.08;15.48;3.112;0.0;
2017;10;2;20;0;19.56;53.00;1022.70;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.89;10.74;129.56;17.07;132.44;11.48;131.19;18.72;0;0.0;
2017;10;2;21;0;17.83;64.00;1023.50;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;13.68;144.64;18.17;146.31;9.96;139.40;21.24;0;0.0;
2017;10;2;22;0;16.86;71.00;1024.30;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;9.51;150.52;11.30;149.35;11.38;145.30;15.84;0;0.0;
2017;10;2;23;0;16.67;72.00;1024.40;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;6.41;141.84;7.90;136.85;11.09;144.25;9.72;0;0.0;
2017;10;3;0;0;16.59;73.00;1024.70;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;5.86;132.51;9.09;123.69;10.80;143.13;8.64;0;0.0;
2017;10;3;1;0;16.47;74.00;1024.50;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;5.35;137.73;8.29;124.38;10.46;139.18;6.84;0;0.0;
2017;10;3;2;0;16.34;75.00;1025.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;4.21;160.02;6.41;141.84;9.69;138.01;5.40;0;0.0;
2017;10;3;3;0;16.20;76.00;1025.10;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;3.60;180.00;4.90;162.90;8.16;138.58;6.12;0;0.0;
2017;10;3;4;0;15.08;82.00;1024.30;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;0.00;0.00;2.60;236.31;3.08;200.56;6.19;144.46;4.68;0;0.0;
2017;10;3;5;0;14.46;85.00;1024.70;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;0.00;0.00;3.76;286.70;3.24;270.00;5.00;149.74;3.24;0;0.0;
2017;10;3;6;0;14.62;81.00;1024.50;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;6.13;310.24;5.99;302.74;5.01;158.96;5.76;0;0.0;
2017;10;3;7;0;14.53;78.00;1024.10;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;7.15;310.91;9.22;308.66;5.45;172.41;5.76;0;0.0;
2017;10;3;8;0;14.79;77.00;1024.60;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;7.12;7.15;319.09;11.71;315.00;5.86;169.38;7.56;0.004;391.45;
2017;10;3;9;0;16.45;71.00;1024.80;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;97.90;5.12;320.71;7.13;315.00;5.94;165.96;6.48;3.551;695.43;
2017;10;3;10;0;17.51;67.00;1025.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;210.04;0.00;180.00;1.30;303.69;5.35;160.35;3.60;12.741;816.04;
2017;10;3;11;0;19.17;60.00;1024.30;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;343.54;3.22;153.43;1.61;153.43;3.88;158.20;4.32;25.247;873.3;
2017;10;3;12;0;20.83;51.00;1024.00;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;583.84;6.29;156.37;5.01;158.96;3.76;163.30;5.04;38.215;900.22;
2017;10;3;13;0;22.14;45.00;1023.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;675.51;7.73;152.24;6.44;153.43;5.48;156.80;6.48;67.14;907.78;
2017;10;3;14;0;23.30;40.00;1022.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;709.33;9.22;141.34;7.93;140.53;6.92;141.34;10.44;93.025;898.62;
2017;10;3;15;0;23.62;36.00;1021.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;674.62;12.60;143.13;11.89;144.87;11.59;143.84;15.12;127.834;869.5;
2017;10;3;16;0;24.07;35.00;1021.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;589.18;11.98;147.26;11.18;146.82;11.49;147.80;14.40;123.391;808.25;
2017;10;3;17;0;24.11;35.00;1021.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;457.46;11.38;145.30;10.59;144.69;9.83;151.56;12.96;113.876;677.94;
2017;10;3;18;0;23.53;36.00;1021.00;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;288.36;11.68;146.31;11.38;145.30;11.12;150.95;11.16;86.611;341.24;
2017;10;3;19;0;21.05;42.00;1020.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.28;105.91;10.23;140.71;16.70;142.88;13.05;155.56;13.32;29.348;0.0;
2017;10;3;20;0;18.28;55.00;1021.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.89;14.19;125.71;24.57;124.85;11.44;167.28;18.36;0.2;0.0;
2017;10;3;21;0;16.61;69.00;1022.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.89;111.37;17.40;114.44;14.80;161.57;10.08;0;0.0;
2017;10;3;22;0;16.02;71.00;1023.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.49;109.44;12.98;109.44;12.50;168.37;7.56;0;0.0;
2017;10;3;23;0;15.52;74.00;1022.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.10;144.46;9.45;130.36;9.37;177.80;8.64;0;0.0;
2017;10;4;0;0;15.07;76.00;1023.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.94;201.80;8.56;157.75;8.31;175.03;8.28;0;0.0;
2017;10;4;1;0;14.73;78.00;1023.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.05;315.00;4.69;184.40;6.15;159.44;2.88;0;0.0;
2017;10;4;2;0;14.48;80.00;1023.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.12;309.29;4.02;243.43;3.89;146.31;3.96;0;0.0;
2017;10;4;3;0;14.13;81.00;1024.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.62;320.19;1.80;270.00;1.48;165.96;3.24;0;0.0;
2017;10;4;4;0;13.61;80.00;1023.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.09;336.04;2.60;326.31;2.62;285.95;3.96;0;0.0;
2017;10;4;5;0;13.29;80.00;1023.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.23;336.80;5.86;312.51;6.92;321.34;6.12;0;0.0;
2017;10;4;6;0;12.13;83.00;1023.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.00;329.74;12.98;316.12;9.34;332.45;10.08;0;0.0;
2017;10;4;7;0;11.48;86.00;1023.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.53;321.34;18.90;319.64;10.79;334.29;15.48;0;0.0;
2017;10;4;8;0;12.51;76.00;1024.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;29.40;9.79;11.81;322.43;19.77;326.89;10.79;334.29;18.00;0.108;384.5;
2017;10;4;9;0;16.18;62.00;1024.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;151.30;9.18;318.18;16.78;324.61;10.83;338.55;14.04;20.67;693.71;
2017;10;4;10;0;19.03;54.00;1025.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;332.86;7.65;318.81;9.93;316.47;11.77;336.57;11.52;62.62;815.72;
2017;10;4;11;0;21.31;46.00;1024.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;491.28;2.41;296.57;3.08;290.56;11.59;334.23;7.20;123.305;873.47;
2017;10;4;12;0;23.14;40.00;1023.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;613.21;3.42;161.57;3.67;168.69;11.02;321.63;5.40;129.139;900.55;
2017;10;4;13;0;24.39;36.00;1023.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;685.30;6.64;139.40;6.64;139.40;1.08;270.00;8.64;123.282;908.09;
2017;10;4;14;0;25.22;34.00;1022.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;706.66;7.70;127.41;7.10;120.47;2.55;98.13;10.44;134.879;898.75;
2017;10;4;15;0;26.03;33.00;1022.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;674.62;5.86;132.51;4.02;116.57;3.71;119.05;8.64;128.093;869.2;
2017;10;4;16;0;26.51;31.00;1022.20;0.00;0.00;0.00;0.00;3.00;0.00;0.00;3.00;58.09;586.51;5.62;140.19;4.07;135.00;3.32;130.60;7.20;126.041;806.96;
2017;10;4;17;0;26.40;31.00;1021.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;453.01;6.37;132.71;5.35;132.27;5.12;129.29;7.56;113.693;673.94;
2017;10;4;18;0;25.78;32.00;1021.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;286.58;6.88;137.12;6.37;137.29;6.11;135.00;8.28;89.812;327.5;
2017;10;4;19;0;23.78;35.00;1021.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.68;105.02;6.79;147.99;8.09;147.72;5.80;150.26;8.64;30.877;0.0;
2017;10;4;20;0;22.63;37.00;1021.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.89;5.90;142.43;12.54;140.83;4.90;162.90;11.88;0.17;0.0;
2017;10;4;21;0;21.67;40.00;1021.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.41;128.16;15.02;134.03;5.86;169.38;10.44;0;0.0;
2017;10;4;22;0;19.15;49.00;1022.90;0.00;0.00;0.00;0.00;0.90;3.00;0.00;0.00;0.00;0.00;7.90;136.85;14.26;135.00;10.03;158.96;13.32;0;0.0;
2017;10;4;23;0;18.45;54.00;1023.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.61;243.43;6.57;170.54;10.37;159.68;5.40;0;0.0;
2017;10;5;0;0;18.54;56.00;1023.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.51;298.61;4.20;239.04;9.69;164.93;5.04;0;0.0;
2017;10;5;1;0;18.47;57.00;1023.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.69;325.30;4.69;327.53;8.47;167.74;3.24;0;0.0;
2017;10;5;2;0;17.38;58.00;1023.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.79;326.31;5.32;331.70;6.92;171.03;4.32;0;0.0;
2017;10;5;3;0;16.88;56.00;1023.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.79;325.01;6.70;306.25;4.32;180.00;6.84;0;0.0;
2017;10;5;4;0;15.39;62.00;1023.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.09;325.18;13.39;306.25;2.10;210.96;10.08;0;0.0;
2017;10;5;5;0;14.43;61.00;1022.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.63;331.70;15.35;320.71;1.44;270.00;13.32;0;0.0;
2017;10;5;6;0;14.22;60.00;1021.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.92;331.11;16.87;326.31;2.62;344.05;17.28;0;0.0;
2017;10;5;7;0;14.07;58.00;1021.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.90;323.43;24.34;330.78;3.55;336.04;20.52;0;0.0;
2017;10;5;8;0;14.74;53.00;1021.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;28.42;8.90;14.78;325.92;25.28;331.98;4.07;315.00;20.52;0.105;377.33;
2017;10;5;9;0;18.37;43.00;1021.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;147.74;13.18;325.01;22.23;335.10;4.84;311.99;15.12;20.443;691.91;
2017;10;5;10;0;21.36;36.00;1021.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;329.30;12.60;323.13;14.58;327.09;5.00;300.26;16.56;65.152;815.37;
2017;10;5;11;0;24.02;30.00;1020.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;487.72;7.39;316.97;6.64;319.40;5.45;277.59;8.64;124.886;873.61;
2017;10;5;12;0;25.99;27.00;1020.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;609.65;1.14;288.43;0.72;270.00;5.12;309.29;6.48;129.632;900.85;
2017;10;5;13;0;27.27;25.00;1018.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;679.96;4.10;164.74;4.90;162.90;0.51;225.00;10.08;128.476;908.38;
2017;10;5;14;0;28.04;25.00;1017.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;700.43;7.42;165.96;7.17;162.47;4.38;170.54;8.28;127.654;898.86;
2017;10;5;15;0;28.64;26.00;1017.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;665.72;6.30;149.04;5.00;149.74;7.07;165.26;13.32;125.449;868.88;
2017;10;5;16;0;29.26;25.00;1016.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;578.50;7.99;144.16;7.65;138.81;9.59;145.71;13.32;123.675;805.62;
2017;10;5;17;0;29.19;27.00;1015.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;446.78;4.68;112.62;5.05;94.09;3.67;101.31;11.52;113.467;669.83;
2017;10;5;18;0;28.37;27.00;1015.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;282.13;10.37;339.68;13.55;343.01;13.57;338.20;13.32;92.087;313.36;
2017;10;5;19;0;25.86;30.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.08;101.46;10.03;291.04;13.80;285.12;15.46;245.22;14.40;32.143;0.0;
2017;10;5;20;0;21.42;49.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.99;311.35;17.48;302.38;25.58;320.71;12.96;0.115;0.0;
2017;10;5;21;0;19.59;54.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.68;328.13;23.95;317.44;23.89;329.18;17.28;0;0.0;
2017;10;5;22;0;18.10;49.00;1014.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.30;329.47;28.17;324.89;23.19;323.84;15.48;0;0.0;
2017;10;5;23;0;16.95;58.00;1015.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.09;328.50;25.76;326.98;21.25;308.81;10.80;0;0.0;
2017;10;6;0;0;16.63;52.00;1015.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.24;337.62;25.12;334.54;18.44;308.66;17.28;0;0.0;
2017;10;6;1;0;15.87;53.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.78;340.14;27.70;332.10;14.84;284.04;11.16;0;0.0;
2017;10;6;2;0;15.05;56.00;1014.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.38;343.69;30.30;339.84;21.61;280.56;15.12;0;0.0;
2017;10;6;3;0;14.39;58.00;1014.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.08;341.57;32.57;346.58;27.55;287.49;21.96;0;0.0;
2017;10;6;4;0;13.39;59.00;1012.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.79;339.83;34.76;344.38;27.37;296.57;23.04;0;0.0;
2017;10;6;5;0;13.50;60.00;1012.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19.47;340.56;34.98;351.12;30.43;297.47;22.68;0;0.0;
